Fecha,Foto,Area,%Por,LAI4,LAI5,%Cob,Longitud,Latitud,Poligono,EVI_20160913,GNDVI_20160913,NDRE_20160913,NDVI_20160913,SAVI_20160913,EVI_20161222,GNDVI_20161222,NDRE_20161222,NDVI_20161222,SAVI_20161222,EVI_20170814,GNDVI_20170814,NDRE_20170814,NDVI_20170814,SAVI_20170814,LAI4_outlier_zscore,LAI4_outlier_iqr,LAI5_outlier_zscore,LAI5_outlier_iqr,%Cob_outlier_zscore,%Cob_outlier_iqr,outlier_isoforest,outlier_lof,outlier_dbscan,outlier_ocsvm,n_metodos,outlier_consenso
9/18/2016,3114,99.89,7.05,3.85,3.05,92.95,-73.32030922603046,3.803494416108233,5,0.7091297,0.556729,0.44576597,0.6144413,0.51922274,0.5088668,0.46765554,0.3128589,0.47652832,0.38641322,0.652727,0.5223265,0.40292016,0.57370067,0.46857318,,,,,,,False,False,False,False,0,False
9/18/2016,3115,99.88,49.69,0.78,0.68,50.31,-73.31594633015594,3.8027133774180313,5,0.54429823,0.46815905,0.35784692,0.49999914,0.4125079,0.70104235,0.5269453,0.4122161,0.58163965,0.4992472,0.4946551,0.43789437,0.3234,0.44953418,0.3695297,,,,,,,True,True,True,True,4,True
9/18/2016,3116,99.89,19.76,2.16,1.74,80.24,-73.31864704871452,3.803155394843609,5,0.6003191,0.49016914,0.37030736,0.5452651,0.4476324,0.5745459,0.4905186,0.36602262,0.5208605,0.4324221,0.58316004,0.46905562,0.36610427,0.52234006,0.42624047,,,,,,,False,True,False,False,1,False
9/18/2016,3117,99.89,18.56,2.44,2.0,81.44,-73.31965780720404,3.802278953065514,5,0.60769963,0.488058,0.37597826,0.53336406,0.45466277,0.33549958,0.371449,0.2482789,0.33070806,0.26742414,0.55133957,0.47292814,0.36853608,0.49215186,0.41169152,,,,,,,False,False,False,False,0,False
9/18/2016,3118,99.9,9.54,3.14,2.63,90.46,-73.31468254809789,3.801550515742477,5,0.5863313,0.47316092,0.35977605,0.50993717,0.43330416,0.35290024,0.3746992,0.25900042,0.35173354,0.2826232,0.5168548,0.4647309,0.35598457,0.46844786,0.388002,,,,,,,False,False,False,False,0,False
9/18/2016,3119,99.87,25.63,1.9,1.5,74.37,-73.3184412191287,3.803146841513969,5,0.5584693,0.4705485,0.36073738,0.5046546,0.41787216,0.5117108,0.44854233,0.34837133,0.4685784,0.38658527,0.6128605,0.49650982,0.3884474,0.5408333,0.4412982,,,,,,,False,False,False,False,0,False
12/21/2016,3261,99.89,56.86,0.58,0.55,43.14,-73.31641983632936,3.801080622096524,5,0.61275905,0.4753051,0.35099012,0.5229178,0.4478687,0.30849138,0.34266186,0.19913222,0.30915567,0.24964605,0.48126897,0.44438615,0.2991077,0.4386801,0.36102834,,,,,,True,False,False,False,False,0,False
12/21/2016,3262,99.9,19.36,2.49,1.96,80.64,-73.31542035517616,3.8027236156353,5,0.5187232,0.44898218,0.33722505,0.47027662,0.39347333,0.3891985,0.3934652,0.27460748,0.37708303,0.30752268,0.5361518,0.473474,0.3580994,0.48083895,0.40081736,,,,,,,False,False,False,False,0,False
12/21/2016,3263,99.89,63.55,0.39,0.39,36.45,-73.31531544925434,3.8026852532047575,5,0.5722142,0.47429228,0.3529677,0.5099547,0.42728278,0.4231199,0.41350135,0.29320177,0.40879554,0.33358574,0.54494417,0.4861758,0.3680009,0.49855438,0.4121146,,,,,True,True,False,False,False,False,0,False
12/21/2016,3264,99.89,28.35,1.73,1.44,71.65,-73.31982639639787,3.802496686664408,5,0.60655046,0.49690902,0.3756717,0.53436726,0.45479214,0.46699116,0.43475097,0.3015134,0.4401131,0.35674718,0.6835692,0.53345996,0.42887306,0.58393586,0.4892371,,,,,,,False,False,False,False,0,False
12/21/2016,3265,99.89,30.53,1.58,1.31,69.47,-73.31539871982353,3.800976706308073,5,0.5428181,0.45036632,0.32537255,0.48520923,0.4077054,0.3695412,0.3928183,0.26024985,0.36539403,0.29888344,0.5279833,0.47047028,0.3480979,0.47364846,0.39517903,,,,,,,False,False,False,False,0,False
12/21/2016,3266,99.89,29.67,1.53,1.32,70.33,-73.31729008484815,3.802767925411351,5,0.48545825,0.45232898,0.3322505,0.47345367,0.38021553,0.31858003,0.35386804,0.23964071,0.31951335,0.2585319,0.39024732,0.39890224,0.27232018,0.38813737,0.30735853,,,,,,,True,False,True,False,2,True
12/21/2016,3267,99.9,35.2,1.37,1.12,64.8,-73.3176295220184,3.801331228016013,5,0.50816596,0.42775053,0.27863982,0.45371795,0.38224068,0.25060388,0.31026965,0.16067605,0.24948406,0.20529246,0.41888487,0.39538044,0.25617662,0.38886902,0.319193,,,,,,,True,True,False,False,2,True
12/21/2016,3268,99.9,54.95,0.78,0.65,45.05,-73.31687338397485,3.803533560173882,5,0.69408405,0.5532856,0.4652851,0.6119195,0.5114228,0.52002895,0.4679617,0.34624887,0.4934984,0.3950781,0.6626666,0.53296524,0.44334364,0.582356,0.47864297,,,,,,True,False,False,False,False,0,False
12/21/2016,3269,99.89,70.4,0.33,0.3,29.6,-73.31753212509692,3.8026309408257424,5,0.534813,0.4671857,0.3252627,0.48944506,0.40973508,0.4209642,0.40725803,0.2674759,0.4018888,0.32284677,0.5593126,0.4850128,0.3518457,0.5011181,0.41202343,,,,,True,True,False,False,False,False,0,False
12/21/2016,3270,99.9,26.74,1.93,1.56,73.26,-73.31818317528788,3.802931592070806,5,0.5597381,0.47547334,0.35524696,0.5100393,0.42438963,0.44506305,0.42949796,0.31538615,0.42924026,0.34599212,0.62084293,0.5141989,0.41604197,0.5536501,0.4560447,,,,,,,False,False,False,False,0,False
12/21/2016,3271,99.9,28.7,1.63,1.35,71.3,-73.31992182888061,3.803113489678392,5,0.761918,0.57942337,0.47505376,0.6435513,0.55667746,0.6643953,0.53092694,0.42598253,0.5755958,0.4808001,0.693338,0.5392006,0.43137974,0.5920388,0.49446702,,,,,,,True,True,False,True,3,True
12/21/2016,3272,99.89,30.57,1.53,1.29,69.43,-73.31478811709336,3.800732156618848,5,0.47350228,0.41697827,0.28405136,0.43450937,0.36369646,0.2925242,0.33135486,0.19070044,0.29136637,0.23509733,0.4109538,0.40844056,0.27012485,0.38583657,0.3225584,,,,,,,True,False,False,False,1,False
12/21/2016,3273,99.9,31.16,1.36,1.22,68.84,-73.31883465775255,3.803274477220723,5,0.77010465,0.5712399,0.46311775,0.64102465,0.5536923,0.6705134,0.5281725,0.4251216,0.5744808,0.4875499,0.69249284,0.52793163,0.42162925,0.5891399,0.49241808,,,,,,,True,True,False,True,3,True
12/21/2016,3274,99.89,36.81,1.27,1.17,63.19,-73.31730708359044,3.803766013916484,5,0.67055905,0.54199386,0.44643134,0.5970088,0.49360487,0.52770454,0.47921294,0.34498382,0.49586543,0.40396664,0.63155353,0.5128153,0.4177672,0.56131643,0.4580804,,,,,,,False,False,False,False,0,False
12/21/2016,3275,99.9,53.38,0.92,0.58,46.62,-73.31512751497576,3.801240316737165,5,0.57208943,0.4683932,0.34754887,0.5067256,0.42932227,0.35463595,0.3760773,0.24309292,0.35424292,0.2826554,0.56969684,0.48506886,0.36206415,0.5037787,0.4185056,,,,,,True,False,False,False,False,0,False
12/21/2016,3276,99.9,52.43,0.74,0.65,47.57,-73.3197529857705,3.802263166358,5,0.6173688,0.48882693,0.37171006,0.53680795,0.45733646,0.35010234,0.37251955,0.24379115,0.3436426,0.27729958,0.5829931,0.47813377,0.3699367,0.508563,0.42597175,,,,,,True,False,False,False,False,0,False
12/21/2016,3277,99.9,24.23,1.99,1.58,75.77,-73.31762665336863,3.8024160722433296,5,0.51348865,0.43749928,0.31850165,0.4588989,0.38717055,0.33976528,0.3679993,0.2386328,0.33404192,0.27120453,0.49388963,0.44704184,0.33075017,0.45178464,0.37113512,,,,,,,False,False,False,False,0,False
12/21/2016,3278,99.88,24.65,1.89,1.51,75.35,-73.31563800187985,3.80329312325364,5,0.6597323,0.53196967,0.44338125,0.5899514,0.48797905,0.5564926,0.48127416,0.3808971,0.5180284,0.41935354,0.6321903,0.5057696,0.41545698,0.56362253,0.45878434,,,,,,,False,False,False,False,0,False
12/21/2016,3279,99.89,26.61,1.79,1.42,73.39,-73.31397748323867,3.800849303062404,5,0.635492,0.48068208,0.35786825,0.54186726,0.46406955,0.2474989,0.30787528,0.14805697,0.25496134,0.20039977,0.44200683,0.41335976,0.2710946,0.40668172,0.33720133,,,,,,,True,True,True,True,4,True
12/21/2016,3280,99.9,38.19,1.32,1.09,61.81,-73.31776307636567,3.801873187540273,5,0.6167172,0.49277508,0.37210214,0.5357361,0.45624855,0.41547787,0.40687603,0.26951507,0.39241335,0.3186443,0.5637616,0.47577882,0.36303163,0.49713814,0.41266954,,,,,,,False,False,False,False,0,False
12/21/2016,3281,99.9,45.56,1.0,0.88,54.44,-73.31477485624062,3.801487894090145,5,0.6608628,0.4983745,0.3866679,0.5606145,0.4827113,0.34567407,0.36226347,0.23972398,0.33951697,0.27024168,0.51934683,0.4616412,0.34976202,0.47079659,0.38983652,,,,,,,False,False,False,True,1,False
12/21/2016,3282,99.89,49.3,0.89,0.7,50.7,-73.31914578673604,3.8023378154776784,5,0.63481385,0.49528006,0.37320217,0.5457444,0.46262166,0.3859912,0.3865705,0.25149837,0.38546965,0.2976146,0.6284212,0.51412344,0.39985344,0.5509778,0.4551878,,,,,,,False,False,False,False,0,False
12/21/2016,3283,99.88,31.88,1.52,1.26,68.12,-73.31763769997674,3.8016149369659904,5,0.5314756,0.45578584,0.34240472,0.4731547,0.40413037,0.35681322,0.38836434,0.24760407,0.3473751,0.28525946,0.50460887,0.45466676,0.34179908,0.45907634,0.38096732,,,,,,,False,False,False,False,0,False
12/21/2016,3284,99.9,69.44,0.26,0.32,30.56,-73.31485932946741,3.801137884380127,5,0.48247755,0.43416926,0.32119894,0.44469747,0.37394086,0.36675757,0.38638747,0.2594171,0.35994282,0.2927239,0.5084929,0.4562265,0.34186918,0.4600854,0.38447186,,,,,True,True,False,False,False,False,0,False
12/21/2016,3285,99.9,35.13,1.49,1.22,64.87,-73.31722265399588,3.8013395126707055,5,0.5959102,0.48725933,0.36246184,0.52861214,0.4461643,0.36309257,0.38410768,0.23957247,0.35775796,0.28884777,0.5445991,0.47489744,0.3487262,0.49313104,0.40589988,,,,,,,False,False,False,False,0,False
12/21/2016,3286,99.89,18.1,2.43,1.97,81.9,-73.31865760807318,3.8037636811381983,5,0.55256486,0.4766867,0.3669372,0.5176104,0.41872332,0.41732538,0.40424725,0.30325687,0.39965507,0.32862368,0.6046378,0.4957344,0.38960862,0.5377051,0.4386139,,,,,,,False,False,False,False,0,False
12/21/2016,3287,99.9,25.8,1.76,1.45,74.2,-73.31742205966884,3.802228976495653,5,0.6044494,0.4884295,0.36188424,0.5327636,0.45040968,0.38730928,0.3954497,0.25618643,0.3746856,0.30275074,0.5137624,0.46311393,0.339482,0.47014326,0.387091,,,,,,,False,False,False,False,0,False
12/21/2016,3288,99.9,15.14,2.79,2.23,84.86,-73.31676615703111,3.803484582351589,5,0.6835647,0.5450971,0.45374808,0.60298246,0.49900687,0.5270436,0.4785984,0.36345044,0.49847555,0.40280595,0.6748943,0.5318015,0.4482684,0.5882141,0.48465577,,,,,,,False,False,False,False,0,False
5/30/2017,3430,99.89,13.78,2.57,2.15,86.22,-73.31685451203731,3.803610258577374,5,0.66198707,0.53841066,0.45235625,0.59595513,0.4944524,0.50424933,0.46504042,0.33738324,0.47882646,0.38532367,0.6618689,0.52807397,0.4405664,0.57763875,0.47448784,,,,,,,False,False,False,False,0,False
5/30/2017,3431,99.9,10.07,3.47,2.79,89.93,-73.32001184181276,3.802914032661111,5,0.6826142,0.53778803,0.41810003,0.60208136,0.5068594,0.64911497,0.5125564,0.40806645,0.5611338,0.47197732,0.6643105,0.5008865,0.40877584,0.57162064,0.47375956,,,,,,,False,False,False,False,0,False
5/30/2017,3432,99.89,15.54,2.51,2.04,84.46,-73.31711062936023,3.804055476061487,5,0.6975667,0.54410726,0.45744553,0.60885507,0.50611556,0.5511473,0.4836202,0.34730053,0.51456213,0.41525418,0.6373692,0.5125928,0.42097098,0.56644243,0.4610797,,,,,,,False,False,False,False,0,False
